time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
49.280880,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.136471,0.023438,0.024658,-1.383057,-0.079102,-0.144043,-0.157715,7733,8069,7898,8092,8466,7454,8420,7357,6953,-25,71,-1465
49.281853,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.119905,0.023193,0.025146,-1.383789,-0.009277,0.098145,-0.225830,7903,7994,8014,7992,8385,7301,8599,7381,6942,-66,-147,-1625
49.283794,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.126253,0.022949,0.024658,-1.384277,-0.124756,-0.384521,-0.295654,7954,7939,8062,7944,8713,7436,8376,7152,6946,27,310,-1765
49.285751,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.120756,0.022949,0.024658,-1.384766,0.013428,0.189697,-0.340332,8042,7871,8134,7902,8446,7170,8727,7325,6943,-63,-218,-1890
49.287704,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.117393,0.022949,0.024658,-1.385498,0.018311,-0.029053,-0.380859,8143,7825,8151,7819,8580,7230,8669,7184,6941,-67,-22,-2001
49.289658,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.117393,0.022949,0.024658,-1.385498,0.018311,-0.029053,-0.380859,8202,7787,8225,7731,8608,7186,8717,7151,6941,-72,-37,-2109
49.294537,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.133717,0.022705,0.023193,-1.387207,-0.043945,-0.097168,-0.390381,8301,7710,8321,7633,8707,7175,8702,7104,6950,-33,38,-2209
49.296497,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.110466,0.022949,0.023926,-1.389648,0.043213,0.158691,-0.415283,8409,7606,8409,7541,8570,7041,8882,7155,6936,-99,-213,-2298
49.297466,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.117231,0.022949,0.023438,-1.390137,-0.056152,-0.407471,-0.442383,8448,7571,8436,7505,8902,7250,8613,6895,6940,-32,321,-2379
49.299416,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.117231,0.022949,0.023438,-1.390137,-0.056152,-0.407471,-0.442383,8472,7499,8502,7446,8948,7237,8625,6850,6940,-32,354,-2461
49.301376,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.103331,0.023193,0.023682,-1.391846,0.105469,0.136475,-0.510498,8517,7499,8530,7440,8665,7026,8940,7003,6931,-149,-126,-2524
49.303326,3.136719,0.738281,-1.113281,0.000000,-0.019999,0.105621,0.023193,0.023438,-1.392822,0.011963,-0.218506,-0.524414,8540,7430,8538,7359,8879,7144,8769,6846,6932,-94,204,-2582
49.305275,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.115080,0.022949,0.022705,-1.393799,-0.057861,-0.350098,-0.522949,8586,7392,8599,7331,8998,7178,8702,6784,6941,-49,344,-2639
49.307243,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.119081,0.022949,0.022705,-1.394775,0.023193,-0.039795,-0.560059,8646,7337,8619,7300,8852,7058,8885,6876,6944,-107,74,-2685
49.309181,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.109793,0.023193,0.022949,-1.395996,0.056641,0.147705,-0.607910,8681,7314,8638,7215,8753,6963,9001,6938,6938,-137,-111,-2719
49.311134,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.105417,0.022949,0.022705,-1.397217,-0.078613,-0.208252,-0.591064,8701,7266,8675,7186,8966,7063,8809,6809,6935,-48,205,-2755
49.313091,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.112108,0.022461,0.022217,-1.398682,-0.118896,-0.170166,-0.603760,8749,7248,8718,7157,8981,7023,8820,6833,6939,-14,175,-2785
49.315041,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.113689,0.022461,0.022461,-1.399658,-0.014160,0.078613,-0.655273,8787,7192,8736,7093,8840,6936,8976,6908,6940,-82,-54,-2803
49.317009,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.107401,0.022461,0.022461,-1.401123,-0.065186,-0.003906,-0.667480,8817,7169,8769,7051,8891,6941,8927,6889,6936,-44,9,-2815
49.318947,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.104601,0.021973,0.022217,-1.402100,-0.204102,-0.233887,-0.631348,8843,7149,8800,7002,9056,6987,8772,6827,6934,61,222,-2834
49.320904,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.107254,0.021729,0.021973,-1.403564,-0.129639,-0.101318,-0.662354,8857,7117,8819,6986,8986,6951,8852,6859,6936,21,112,-2844
49.322853,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.109190,0.021484,0.021729,-1.405029,-0.072754,-0.031494,-0.724609,8890,7081,8826,6974,8939,6940,8897,6876,6937,-11,53,-2838
49.324806,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.109034,0.021240,0.021484,-1.406250,-0.176025,-0.192871,-0.704346,8913,7052,8863,6922,9054,6980,8777,6837,6936,67,209,-2834
49.326759,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.105324,0.020752,0.021240,-1.407715,-0.217529,-0.115234,-0.689453,8930,7023,8869,6917,9040,6929,8786,6888,6934,107,147,-2830
49.328720,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.102106,0.020508,0.021240,-1.409180,-0.150391,-0.029541,-0.736816,8940,7032,8866,6866,8978,6914,8834,6911,6932,70,73,-2814
49.330677,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.107269,0.020020,0.020996,-1.410645,-0.220215,-0.199219,-0.759521,8963,6998,8859,6877,9084,6976,8715,6871,6935,131,237,-2790
49.332623,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.112589,0.019531,0.020508,-1.412109,-0.257324,-0.191162,-0.739990,8973,6982,8874,6859,9102,6972,8685,6896,6938,170,246,-2766
49.334583,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.105625,0.019043,0.020752,-1.413574,-0.187744,0.049316,-0.748047,9002,6959,8882,6835,8961,6887,8800,6995,6934,134,26,-2738
49.336529,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.099888,0.018555,0.020752,-1.415039,-0.193604,-0.034180,-0.777832,9007,6952,8861,6825,8986,6926,8743,6978,6930,147,96,-2700
49.338486,3.136719,0.738281,-1.109375,0.000000,-0.019999,0.108622,0.018066,0.020264,-1.416748,-0.250000,-0.232666,-0.758057,9027,6926,8852,6840,9097,7014,8615,6925,6937,196,285,-2663
49.340443,3.136719,0.738281,-1.105469,0.000000,-0.019999,0.114573,0.017822,0.020264,-1.417969,-0.169678,0.019043,-0.759521,9045,6931,8846,6828,8948,6942,8743,7033,6942,148,57,-2623
49.342388,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.088558,0.017578,0.020508,-1.419678,-0.051514,0.188232,-0.795410,9042,6903,8817,6824,8832,6909,8791,7072,6920,102,-61,-2571
49.344345,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.082582,0.017090,0.020508,-1.421143,-0.172852,-0.120361,-0.769287,9049,6907,8836,6824,8988,7018,8595,6992,6916,183,209,-2522
49.346294,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.087868,0.016846,0.020020,-1.422363,-0.186035,-0.158203,-0.742676,9050,6910,8821,6840,8999,7053,8555,6994,6919,192,251,-2476
49.348248,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.094210,0.016602,0.020264,-1.424072,-0.051514,0.101074,-0.777100,9061,6900,8788,6837,8817,7006,8704,7087,6924,97,15,-2420
49.350201,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.096247,0.016602,0.020508,-1.425781,-0.002441,0.153076,-0.809570,9058,6885,8789,6853,8739,7020,8736,7123,6925,53,-50,-2352
49.352158,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.090286,0.016357,0.020508,-1.427246,-0.116455,-0.083740,-0.767578,9048,6893,8774,6853,8853,7109,8573,7075,6922,123,157,-2289
49.354111,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.083658,0.016113,0.020508,-1.428711,-0.093506,0.011963,-0.763428,9009,6896,8768,6863,8772,7093,8600,7129,6917,104,68,-2224
49.356060,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.089838,0.016113,0.020752,-1.430420,0.038086,0.078613,-0.803223,9019,6900,8741,6879,8668,7144,8660,7144,6924,4,4,-2146
49.358013,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.095905,0.016113,0.020752,-1.431885,-0.007324,-0.084229,-0.788330,8989,6897,8725,6884,8729,7240,8548,7109,6928,25,156,-2067
49.359966,3.136719,0.726562,-1.113281,-0.019999,-0.039999,0.092440,0.016113,0.020508,-1.433350,-0.028076,-0.053467,-0.762939,8960,6913,8722,6903,8689,7250,8527,7147,6923,30,132,-1990
49.361923,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.084362,0.016113,0.020752,-1.434814,0.042236,0.111572,-0.778809,8950,6921,8707,6916,8555,7231,8597,7223,6921,-26,-17,-1905
49.363873,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.085297,0.016113,0.020508,-1.436279,0.003906,-0.097656,-0.771973,8900,6940,8689,6935,8630,7349,8459,7165,6920,-7,178,-1818
49.365826,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.092884,0.016113,0.020264,-1.437744,-0.030029,-0.151367,-0.752197,8892,6972,8650,6962,8645,7408,8390,7174,6925,11,244,-1731
49.367779,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.092339,0.016113,0.020508,-1.439209,0.039551,0.188232,-0.770264,8854,7007,8656,6960,8432,7314,8535,7336,6925,-40,-62,-1636
49.369732,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.086191,0.016113,0.020996,-1.440674,0.056641,0.206299,-0.758057,8828,7007,8643,6974,8369,7336,8525,7376,6921,-57,-98,-1540
49.371689,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.085003,0.015869,0.020996,-1.442139,-0.068359,-0.107178,-0.719727,8775,7036,8614,7001,8520,7465,8310,7312,6921,28,181,-1449
49.373638,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.090857,0.015625,0.020752,-1.443604,-0.072754,-0.050293,-0.713867,8786,7076,8566,7023,8471,7475,8296,7373,6924,37,139,-1355
49.375591,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.096188,0.015869,0.021240,-1.445068,0.044922,0.312744,-0.735107,8738,7110,8583,7041,8228,7381,8473,7544,6928,-41,-204,-1253
49.377544,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.093195,0.015869,0.021729,-1.446289,-0.020508,0.162109,-0.697266,8693,7124,8536,7079,8274,7451,8356,7539,6926,3,-85,-1157
49.379505,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.087271,0.015625,0.021484,-1.447510,-0.143555,-0.114014,-0.650635,8669,7130,8548,7097,8411,7558,8150,7490,6922,96,165,-1068
49.381454,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.090160,0.015381,0.021729,-1.448975,-0.075439,0.075439,-0.661133,8626,7190,8511,7110,8278,7528,8219,7590,6924,60,-2,-974
49.383411,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.097311,0.015381,0.021973,-1.450195,0.027344,0.215332,-0.656494,8564,7212,8500,7147,8148,7530,8289,7662,6929,-4,-136,-879
49.385357,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.097311,0.015381,0.021973,-1.450195,0.027344,0.215332,-0.656494,8568,7247,8474,7208,8106,7556,8264,7703,6929,-6,-152,-784
49.387314,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.088825,0.014893,0.021973,-1.452637,-0.142334,-0.042969,-0.583496,8520,7262,8439,7229,8250,7638,8053,7673,6924,116,82,-700
49.389263,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.092493,0.014404,0.022217,-1.453857,-0.060059,0.176270,-0.596924,8446,7309,8426,7273,8093,7592,8148,7784,6925,69,-123,-610
49.391216,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.098816,0.014404,0.022705,-1.455078,-0.038086,0.150879,-0.596924,8449,7321,8388,7316,8071,7639,8110,7808,6929,65,-104,-518
49.393169,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.101324,0.014160,0.022705,-1.456055,-0.118408,-0.014160,-0.568604,8393,7371,8366,7380,8148,7716,7973,7797,6931,128,47,-430
49.395123,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.094400,0.013916,0.022705,-1.457031,-0.173340,0.063965,-0.546875,8358,7388,8344,7404,8109,7686,7945,7881,6926,179,-16,-344
49.397076,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.092806,0.013672,0.022949,-1.458252,-0.099854,0.124756,-0.541504,8333,7422,8324,7466,8031,7709,7961,7917,6925,139,-69,-258
49.399036,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.099899,0.013428,0.022949,-1.459473,-0.094971,-0.081299,-0.536133,8317,7442,8278,7485,8106,7840,7830,7855,6930,145,130,-170
49.401001,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.101030,0.013184,0.022705,-1.460449,-0.109375,-0.064697,-0.521729,8250,7487,8234,7552,8087,7864,7788,7895,6931,165,134,-82
49.402931,3.136719,0.726562,-1.109375,-0.019999,-0.039999,0.094193,0.012939,0.023193,-1.461426,-0.066406,0.189697,-0.512207,8242,7495,8208,7576,7927,7790,7880,8024,6926,140,-94,5
49.404884,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.094612,0.012939,0.023193,-1.462158,-0.029541,0.096680,-0.496826,8222,7548,8175,7634,7925,7875,7825,8005,6929,115,-15,92
49.406837,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.102077,0.012939,0.023193,-1.463135,-0.035400,-0.123291,-0.481934,8189,7573,8142,7657,8002,8011,7692,7935,6933,117,192,178
49.408791,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.102169,0.012695,0.023193,-1.464111,-0.037109,0.086426,-0.479248,8181,7610,8088,7702,7879,7951,7755,8059,6934,116,8,266
49.410744,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.095707,0.012695,0.023926,-1.465088,0.014648,0.291016,-0.466553,8122,7626,8061,7725,7723,7898,7840,8168,6929,77,-193,355
49.412701,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.097065,0.012695,0.024170,-1.465820,0.012451,0.099365,-0.441406,8097,7678,8009,7775,7772,8010,7732,8118,6930,74,-34,441
49.414650,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.104223,0.012695,0.023682,-1.466797,-0.017334,-0.206299,-0.420654,8086,7711,7998,7799,7899,8180,7553,8014,6935,90,256,524
49.416603,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.102680,0.012695,0.023682,-1.467529,-0.003418,0.030518,-0.421143,8066,7715,7931,7852,7762,8117,7628,8137,6934,77,57,610
49.418556,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.096912,0.012695,0.024414,-1.468262,0.041260,0.280518,-0.399414,8021,7766,7909,7892,7594,8043,7730,8264,6930,42,-178,693
49.420509,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.099861,0.012695,0.024170,-1.468994,0.028320,-0.048340,-0.362061,7996,7789,7909,7896,7718,8218,7555,8146,6932,46,117,770
49.422466,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.104895,0.012695,0.023682,-1.469727,-0.014648,-0.263916,-0.350342,7961,7845,7862,7929,7818,8342,7407,8080,6935,74,336,845
49.424419,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.100611,0.012939,0.023926,-1.470459,0.052490,0.136475,-0.348389,7938,7892,7803,7970,7590,8218,7577,8255,6933,25,-12,922
49.426369,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.096228,0.012939,0.024414,-1.470947,0.077881,0.291992,-0.320068,7888,7915,7800,7985,7471,8172,7640,8345,6929,2,-171,993
49.428322,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.100958,0.012939,0.024414,-1.471436,0.048096,-0.130371,-0.280273,7861,7968,7756,8016,7648,8379,7422,8187,6932,17,208,1056
