train_loss	val_loss
0.31053611881420684	0.05715849691450819
0.16801257902114744	0.05967904514308726
0.13076155422929422	0.17951648213555305
0.11114261508727495	0.1615175734577554
0.09766651308245712	0.26873440021990835
0.09507693240909174	0.05297078358267577
0.08641183323218574	0.050793610373686314
0.08056800426056632	0.0873124407750837
0.0804181398812505	0.9078954517394863
0.07451423800152884	0.06778800841909223
0.07476094841191624	0.11655421964545151
0.07152041243519613	0.1641393376423625
0.06681574664510476	0.12725246595811754
0.06630073220818171	0.07060495984464996
0.06774050357683123	0.03617740313658554
0.06656432902591002	0.21389594568072187
0.06528172881400666	0.03613199899147512
0.061326912446525744	0.03869028267370404
0.06051886271640202	0.03990988101293978
0.06013238495691695	0.03542342568548878
0.060645267797751146	0.03909144255468685
0.05983020253786366	0.04127663950181186
0.056656236824627004	0.05443376262954781
0.05732907366009313	0.05213903880604867
0.056200587756117915	0.032841277284345376
0.055278628721247405	0.02688009212358614
0.05308815749681097	0.03244733363948065
0.054099307346927625	0.08454827320402704
0.05154518056035892	0.02948713018681003
0.05389859651875116	0.02534680041983333
0.052951771419266554	0.054371898010205685
0.05254829021218265	0.025855267218101337
0.05181767248521933	0.3255656709273656
0.057103263160587954	0.10085596409294936
0.05570737524920535	0.02811318150397097
0.05130410078067416	0.03183016644211744
0.05319785470942984	0.07299941457277827
0.05498083570751153	0.033762287348508835
0.054004673521528365	0.02673279114541936
0.057908017909741	0.052961645480454636
0.05881584780473482	0.028714286784331005
0.0591899255133068	0.09783613288335585
0.0580681861754312	0.09612727755408608
0.05891717818587685	0.05107277926155244
0.05699816158980852	0.05191233858103386
0.061168676897420345	0.04775712075416515
0.06054294009756402	0.1720049450459998
0.060521250112389784	0.05509198025873538
0.06280627188835211	0.09667651704076524
0.0625524490405036	0.03161598919901285
